0
                    Filename,  Orb_st Orb_end,         Start_time,           End_time, Status_flag,    Npackets, Drift_start,   Drift_end, Data source,
"hsi_20051003_123320_002.fits   20032   20033 03-Oct-05 12:33:20 03-Oct-05 12:51:00           1       17508      -1.298      -1.298                            Spacecraft:vc1_20051003214252.0,vc3_20051003214252.0"
"hsi_20051003_125100_001.fits   20033   20034 03-Oct-05 12:51:00 03-Oct-05 14:09:00           1       99956      -1.298      -1.298                            Spacecraft:vc1_20051003214252.0,vc3_20051003214252.0"
"hsi_20051003_140900_001.fits   20033   20034 03-Oct-05 14:09:00 03-Oct-05 14:27:00           1       17255      -1.298      -1.298                            Spacecraft:vc1_20051003214252.0,vc3_20051003214252.0"
hsi_20051003_142700_002.fits   20034   20035 03-Oct-05 14:27:00 03-Oct-05 15:46:40           1       99824      -1.298      -1.299                                                 Spacecraft:vc3_20051003215146.0
hsi_20051003_154640_002.fits   20034   20035 03-Oct-05 15:46:40 03-Oct-05 16:03:00           1       14991      -1.299      -1.299                                                 Spacecraft:vc3_20051003215146.0
hsi_20051003_160300_002.fits   20035   20036 03-Oct-05 16:03:00 03-Oct-05 17:28:00           1       99850      -1.299      -1.299                                                 Spacecraft:vc3_20051003232442.0
hsi_20051003_172800_002.fits   20035   20036 03-Oct-05 17:28:00 03-Oct-05 17:39:00           1        9403      -1.299      -1.299                                                 Spacecraft:vc3_20051003232442.0
hsi_20051003_173900_002.fits   20036   20037 03-Oct-05 17:39:00 03-Oct-05 18:54:00           1       99803      -1.299      -1.299                                                 Spacecraft:vc3_20051003232442.0
hsi_20051003_185400_002.fits   20036   20037 03-Oct-05 18:54:00 03-Oct-05 19:14:40           1       20240      -1.299      -1.299                                                 Spacecraft:vc3_20051003232442.0
hsi_20051003_191440_003.fits   20037   20038 03-Oct-05 19:14:40 03-Oct-05 20:29:20           1       99814      -1.299      -1.299                                                 Spacecraft:vc3_20051004010546.0
hsi_20051003_202920_003.fits   20037   20038 03-Oct-05 20:29:20 03-Oct-05 20:50:40           1       17287      -1.299      -1.299                                                 Spacecraft:vc3_20051004010546.0
"hsi_20051003_205040_003.fits   20038   20039 03-Oct-05 20:50:40 03-Oct-05 22:10:20           1       99999      -1.299      -1.299                            Spacecraft:vc1_20051004024853.0,vc3_20051004024853.0"
